domain,pair,relatedness_label,source_task,target_task,seed,relatedness_score,solve_accuracy,parent_epochs,parent_reached,pair_valid,clone_epochs,clone_success,scratch_epochs,scratch_success,speedup,clone_heldout_mse,scratch_heldout_mse
signed,multiplication->powers,moderate/strong,multiplication,powers,2,,,1500,False,False,,,,,,,
signed,multiplication->powers,moderate/strong,multiplication,powers,3,0.27366979757905463,0.34375,1223,True,True,1073.0,True,664.0,True,0.6188257222739981,0.5663246684767862,0.7190849664190954
signed,multiplication->powers,moderate/strong,multiplication,powers,4,,,1500,False,False,,,,,,,
signed,multiplication->powers,moderate/strong,multiplication,powers,5,0.5283324665794317,0.25,1432,True,True,676.0,True,526.0,True,0.7781065088757396,0.558690127148065,0.5614272269127798
signed,multiplication->powers,moderate/strong,multiplication,powers,6,,,1500,False,False,,,,,,,
signed,multiplication->powers,moderate/strong,multiplication,powers,7,,,1500,False,False,,,,,,,
signed,multiplication->powers,moderate/strong,multiplication,powers,8,,,1500,False,False,,,,,,,
signed,multiplication->powers,moderate/strong,multiplication,powers,9,,,1500,False,False,,,,,,,
signed,multiplication->powers,moderate/strong,multiplication,powers,10,0.6332007212043794,0.375,1371,True,True,1114.0,True,634.0,True,0.5691202872531418,0.18017121905154068,0.12801034786388238
signed,multiplication->powers,moderate/strong,multiplication,powers,11,0.38835616538352213,0.5,1495,True,True,597.0,True,545.0,True,0.9128978224455612,0.4880506472922044,0.3859461194766905
signed,multiplication->powers,moderate/strong,multiplication,powers,12,,,1500,False,False,,,,,,,
signed,multiplication->powers,moderate/strong,multiplication,powers,13,,,1500,False,False,,,,,,,
signed,multiplication->powers,moderate/strong,multiplication,powers,14,0.4492328544328992,0.453125,1490,True,True,1045.0,True,665.0,True,0.6363636363636364,0.40703712287241883,0.2705382686289222
signed,multiplication->squares,strong (structural),multiplication,squares,0,,,1500,False,False,,,,,,,
signed,multiplication->squares,strong (structural),multiplication,squares,1,,,1500,False,False,,,,,,,
signed,multiplication->squares,strong (structural),multiplication,squares,2,,,1500,False,False,,,,,,,
signed,multiplication->squares,strong (structural),multiplication,squares,3,1.0841269062689946e-21,0.0625,1223,True,True,1500.0,False,1500.0,False,1.0,0.4250039413745113,73.53834783512902
signed,multiplication->squares,strong (structural),multiplication,squares,4,,,1500,False,False,,,,,,,
signed,multiplication->squares,strong (structural),multiplication,squares,5,4.67189140890397e-20,0.140625,1432,True,True,1500.0,False,1500.0,False,1.0,0.4748643380553521,7.584516845764895
signed,multiplication->squares,strong (structural),multiplication,squares,6,,,1500,False,False,,,,,,,
signed,multiplication->squares,strong (structural),multiplication,squares,7,,,1500,False,False,,,,,,,
signed,multiplication->squares,strong (structural),multiplication,squares,8,,,1500,False,False,,,,,,,
signed,multiplication->squares,strong (structural),multiplication,squares,9,,,1500,False,False,,,,,,,
signed,multiplication->squares,strong (structural),multiplication,squares,10,1.5759207593814683e-16,0.078125,1371,True,True,1500.0,False,1500.0,False,1.0,0.5864490043933663,83.32556827931357
signed,multiplication->squares,strong (structural),multiplication,squares,11,4.618111062488056e-20,0.109375,1495,True,True,1299.0,True,1500.0,False,1.1547344110854503,0.32053000259629416,6.5615942525021005
signed,multiplication->squares,strong (structural),multiplication,squares,12,,,1500,False,False,,,,,,,
signed,multiplication->squares,strong (structural),multiplication,squares,13,,,1500,False,False,,,,,,,
signed,multiplication->squares,strong (structural),multiplication,squares,14,2.339922128177592e-16,0.0625,1490,True,True,1500.0,False,1500.0,False,1.0,0.1528212694754463,87.10975561396192
signed,addition->subtraction,weak,addition,subtraction,0,0.20223030290546012,0.046875,109,True,True,132.0,True,105.0,True,0.7954545454545454,0.42434635053444036,0.2891014521106566
signed,addition->subtraction,weak,addition,subtraction,1,0.13444717220060326,0.03125,110,True,True,128.0,True,106.0,True,0.828125,0.2987937192028733,0.21381931985851263
signed,addition->subtraction,weak,addition,subtraction,2,0.17673359715937031,0.0625,111,True,True,76.0,True,115.0,True,1.513157894736842,0.13458934116619645,0.17245454367615531
signed,addition->subtraction,weak,addition,subtraction,3,0.08588979322253663,0.078125,136,True,True,114.0,True,107.0,True,0.9385964912280702,0.14294394864246235,0.16150946478734166
signed,addition->subtraction,weak,addition,subtraction,4,0.14098237158828206,0.046875,99,True,True,118.0,True,109.0,True,0.923728813559322,0.28294865869151076,0.25998909524558406
signed,addition->subtraction,weak,addition,subtraction,5,0.11477061521037696,0.078125,113,True,True,126.0,True,110.0,True,0.873015873015873,0.28153887455643023,0.23478091732961986
signed,addition->subtraction,weak,addition,subtraction,6,0.19635104012634708,0.0625,121,True,True,141.0,True,118.0,True,0.8368794326241135,0.20615932535886944,0.17417065522148936
signed,addition->subtraction,weak,addition,subtraction,7,0.16640186988026937,0.015625,95,True,True,129.0,True,91.0,True,0.7054263565891473,0.261790787531215,0.3902549193452471
signed,addition->subtraction,weak,addition,subtraction,8,0.12213286263705328,0.015625,122,True,True,114.0,True,97.0,True,0.8508771929824561,0.18185843244061933,0.16742130908155256
signed,addition->subtraction,weak,addition,subtraction,9,0.19205364509514194,0.0625,96,True,True,160.0,True,160.0,True,1.0,0.2141837291633222,0.18866923287459025
signed,addition->subtraction,weak,addition,subtraction,10,0.13980305579079388,0.03125,124,True,True,124.0,True,139.0,True,1.1209677419354838,0.18776370734406203,0.14656843393087546
signed,addition->subtraction,weak,addition,subtraction,11,0.10786086964290999,0.03125,119,True,True,128.0,True,136.0,True,1.0625,0.21564169312468423,0.17865436203168977
signed,addition->subtraction,weak,addition,subtraction,12,0.14127143820240515,0.109375,121,True,True,197.0,True,217.0,True,1.101522842639594,0.18798023083151594,0.18006191671697494
signed,addition->subtraction,weak,addition,subtraction,13,0.16206198738639205,0.0625,119,True,True,112.0,True,159.0,True,1.4196428571428572,0.3016525746275825,0.18016189437243268
signed,addition->subtraction,weak,addition,subtraction,14,0.13331797508094848,0.015625,137,True,True,105.0,True,110.0,True,1.0476190476190477,0.1589035375321292,0.1522342557001399
signed,addition->multiplication,null/unrelated,addition,multiplication,0,3.1146127202105276e-07,0.015625,109,True,True,1500.0,False,1500.0,False,1.0,0.28906761069559184,0.4284740335294803
signed,addition->multiplication,null/unrelated,addition,multiplication,1,1.4308534708425336e-07,0.015625,110,True,True,1176.0,True,1500.0,False,1.2755102040816326,2.218664111210595,2.651597497309582
signed,addition->multiplication,null/unrelated,addition,multiplication,2,6.895657848673047e-10,0.0,111,True,True,1328.0,True,1500.0,False,1.1295180722891567,0.4523084555271474,0.39032484162201103
signed,addition->multiplication,null/unrelated,addition,multiplication,3,1.0698162349699742e-09,0.0,136,True,True,1103.0,True,1223.0,True,1.1087941976427924,1.4238104848600697,1.2570616767701468
signed,addition->multiplication,null/unrelated,addition,multiplication,4,5.2945387688892594e-08,0.015625,99,True,True,1422.0,True,1500.0,False,1.0548523206751055,2.2385450811104888,6.9275667156651135
signed,addition->multiplication,null/unrelated,addition,multiplication,5,2.1320491623144847e-09,0.0,113,True,True,1239.0,True,1432.0,True,1.155770782889427,0.6865772231433599,0.7805991647761952
signed,addition->multiplication,null/unrelated,addition,multiplication,6,3.931975928107134e-06,0.0,121,True,True,1260.0,True,1500.0,False,1.1904761904761905,0.9292660177445612,1.1027946557165962
signed,addition->multiplication,null/unrelated,addition,multiplication,7,5.801014550534233e-08,0.0,95,True,True,1338.0,True,1500.0,False,1.1210762331838564,0.7165701262743879,1.7972354170689766
signed,addition->multiplication,null/unrelated,addition,multiplication,8,8.59192484607076e-07,0.0,122,True,True,1314.0,True,1500.0,False,1.1415525114155252,2.638145501887372,1.8500919416670103
signed,addition->multiplication,null/unrelated,addition,multiplication,9,2.1920891742180595e-08,0.015625,96,True,True,1385.0,True,1500.0,False,1.0830324909747293,0.8088070491422743,0.9960908097292362
signed,addition->multiplication,null/unrelated,addition,multiplication,10,1.502310832609649e-06,0.0,124,True,True,1217.0,True,1371.0,True,1.1265406737880033,2.010196304061823,2.2641070038320623
signed,addition->multiplication,null/unrelated,addition,multiplication,11,4.71817387919603e-08,0.0,119,True,True,1360.0,True,1495.0,True,1.099264705882353,0.5674458915491011,0.427699751988659
signed,addition->multiplication,null/unrelated,addition,multiplication,12,4.8801595044960195e-09,0.015625,121,True,True,1094.0,True,1500.0,False,1.3711151736745886,5.63491786483507,7.257498700532275
signed,addition->multiplication,null/unrelated,addition,multiplication,13,6.009608785427627e-08,0.015625,119,True,True,1147.0,True,1500.0,False,1.3077593722755012,1.8025324238830462,1.064230676324067
signed,addition->multiplication,null/unrelated,addition,multiplication,14,2.689912162230334e-08,0.015625,137,True,True,1008.0,True,1490.0,True,1.4781746031746033,3.2196655768294846,1.6599343363798902
