target_task,prior_history,prior_tasks,seed,prior_history_valid,strategy,source_task,compatibility_score,solve_accuracy,adaptation_steps,fixed_budget,target_attempted,acquisition_success,heldout_accuracy,heldout_mse,addition_prior_steps,addition_prior_success,multiplication_prior_steps,multiplication_prior_success
division,addition+multiplication,addition+multiplication,0,True,clone,addition,0.2960664321858043,0.0625,684.0,1500,True,True,0.8533333333333334,0.1627196507035806,329.0,True,1275.0,True
division,addition+multiplication,addition+multiplication,1,True,clone,addition,0.32766646420467466,0.015625,618.0,1500,True,True,0.79,0.23035451201312165,308.0,True,1372.0,True
division,addition+multiplication,addition+multiplication,2,True,clone,addition,0.36662374000050263,0.03125,567.0,1500,True,True,0.82,0.2910841285989548,315.0,True,1106.0,True
division,addition+multiplication,addition+multiplication,3,True,clone,addition,0.36690112197547237,0.03125,512.0,1500,True,True,0.7733333333333333,0.42098455960785286,310.0,True,1337.0,True
division,addition+multiplication,addition+multiplication,4,True,clone,addition,0.36351363544177095,0.015625,610.0,1500,True,True,0.7533333333333333,0.22247349136066433,247.0,True,1051.0,True
division,addition+multiplication,addition+multiplication,5,True,clone,addition,0.3148031665322957,0.0,748.0,1500,True,True,0.8433333333333334,0.19061463215302984,330.0,True,1165.0,True
division,addition+multiplication,addition+multiplication,6,True,clone,addition,0.30137283201821896,0.015625,681.0,1500,True,True,0.8866666666666667,0.16342581226177497,340.0,True,1155.0,True
division,addition+multiplication,addition+multiplication,7,False,prerequisite_failed,,,,,1500,False,False,,,275.0,True,1500.0,False
division,addition+multiplication,addition+multiplication,8,True,clone,addition,0.3581474884546055,0.0625,516.0,1500,True,True,0.7366666666666667,0.4765354893433923,277.0,True,1084.0,True
division,addition+multiplication,addition+multiplication,9,True,clone,addition,0.31648532677644287,0.015625,655.0,1500,True,True,0.8666666666666667,0.15926971433482554,272.0,True,1173.0,True
division,addition+multiplication,addition+multiplication,10,True,clone,addition,0.3530841046541824,0.015625,576.0,1500,True,True,0.82,0.22394812421882165,231.0,True,1356.0,True
division,addition+multiplication,addition+multiplication,11,True,clone,addition,0.3633922391910903,0.0,548.0,1500,True,True,0.8366666666666667,0.21780434707152993,306.0,True,1160.0,True
division,addition+multiplication,addition+multiplication,12,True,clone,addition,0.35707592121629783,0.0,707.0,1500,True,True,0.8633333333333333,0.10617933503509903,272.0,True,1252.0,True
division,addition+multiplication,addition+multiplication,13,True,clone,addition,0.39388525651630313,0.109375,602.0,1500,True,True,0.8233333333333334,0.14990381556320373,257.0,True,1049.0,True
division,addition+multiplication,addition+multiplication,14,True,clone,addition,0.3126428876931127,0.015625,681.0,1500,True,True,0.79,0.18827569721737836,270.0,True,1122.0,True
squares,none,none,0,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.7866666666666666,0.17660142149995312,,,,
squares,none,none,1,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.86,0.15639485175852286,,,,
squares,none,none,2,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.75,0.1734986795034493,,,,
squares,none,none,3,True,scratch,,0.0,0.0,1489.0,1500,True,True,0.7566666666666667,0.3066440188960891,,,,
squares,none,none,4,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.77,0.15617694996427758,,,,
squares,none,none,5,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.7666666666666667,0.17764559338707625,,,,
squares,none,none,6,True,scratch,,0.0,0.0,1425.0,1500,True,True,0.8166666666666667,0.19061363567952513,,,,
squares,none,none,7,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.76,0.15750400971918466,,,,
squares,none,none,8,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.8166666666666667,0.21136929429972015,,,,
squares,none,none,9,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.71,0.41175555945277104,,,,
squares,none,none,10,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.7666666666666667,0.24626405671412405,,,,
squares,none,none,11,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.6566666666666666,0.22257882725541833,,,,
squares,none,none,12,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.76,0.15684803359132235,,,,
squares,none,none,13,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.8133333333333334,0.15964273138837312,,,,
squares,none,none,14,True,scratch,,0.0,0.0,1387.0,1500,True,True,0.8266666666666667,0.19623727724032472,,,,
squares,addition,addition,0,True,scratch,,5.642303794876853e-09,0.015625,1500.0,1500,True,False,0.7533333333333333,0.23614436014760723,312.0,True,,
squares,addition,addition,1,True,scratch,,5.952668501563707e-10,0.0625,1500.0,1500,True,False,0.7833333333333333,0.193565387340683,328.0,True,,
squares,addition,addition,2,True,scratch,,1.73025542553298e-05,0.015625,1500.0,1500,True,False,0.76,0.208111511837084,338.0,True,,
squares,addition,addition,3,True,scratch,,9.554008542012497e-09,0.0,1425.0,1500,True,True,0.8766666666666667,0.14426571594328516,286.0,True,,
squares,addition,addition,4,True,scratch,,6.790504077548931e-07,0.03125,1500.0,1500,True,False,0.8033333333333333,0.201846679220668,263.0,True,,
squares,addition,addition,5,True,scratch,,2.639199118579633e-09,0.0,1500.0,1500,True,False,0.7033333333333334,0.25628094246026784,261.0,True,,
squares,addition,addition,6,True,scratch,,1.5854802414401302e-07,0.046875,1481.0,1500,True,True,0.8233333333333334,0.1708712745708933,243.0,True,,
squares,addition,addition,7,True,scratch,,1.447561202167197e-07,0.015625,1500.0,1500,True,False,0.7866666666666666,0.18502480276645877,379.0,True,,
squares,addition,addition,8,True,scratch,,1.6051734346058608e-07,0.03125,1500.0,1500,True,False,0.7766666666666666,0.2820139191001582,291.0,True,,
squares,addition,addition,9,True,scratch,,4.805258631581767e-08,0.03125,1500.0,1500,True,False,0.8066666666666666,0.16594133706394695,264.0,True,,
squares,addition,addition,10,True,scratch,,1.736341899720948e-08,0.03125,1500.0,1500,True,False,0.75,0.20122627267359414,311.0,True,,
squares,addition,addition,11,True,scratch,,3.5215826444070193e-06,0.046875,1500.0,1500,True,False,0.7433333333333333,0.22582691502000765,261.0,True,,
