seed,source_task,target_task,compatibility_score,calibration_mse,calibration_accuracy,solved_label,original_reuse,false_reuse,calibrated_score_reuse,calibrated_false_reuse
1,powers,powers,0.9962994215683277,0.16599309165162823,0.8633333333333333,True,True,False,True,False
2,addition,addition,0.9971228738208605,0.18262790014430616,0.86,True,True,False,True,False
2,addition,subtraction,0.1280601808609724,120.36204252630608,0.07333333333333333,False,False,False,False,False
2,addition,multiplication,0.0004964766451176163,391.1609086520792,0.016666666666666666,False,False,False,False,False
2,addition,powers,0.8647151206227641,9.08302394103307,0.11,False,False,False,False,False
2,subtraction,addition,0.1369950630803203,116.78742168304755,0.07666666666666666,False,False,False,False,False
2,subtraction,subtraction,0.9973186616436825,0.1270226516507458,0.8933333333333333,True,True,False,True,False
2,subtraction,multiplication,4.0793776668847635e-07,814.3314927838993,0.04,False,False,False,False,False
2,subtraction,powers,0.7229700094569788,19.867823298872384,0.12,False,False,False,False,False
2,multiplication,addition,0.0007901088061690732,420.82557456208804,0.0,False,False,False,False,False
2,multiplication,subtraction,1.4131523623508974e-06,907.7720617316504,0.01,False,False,False,False,False
2,multiplication,multiplication,0.9889616811708027,0.2786497482948217,0.8233333333333334,False,True,True,False,False
2,multiplication,powers,0.9082751099415177,5.992293992762839,0.34,False,True,True,False,False
2,powers,addition,0.11970906883175944,129.2405745394976,0.05,False,False,False,False,False
2,powers,subtraction,0.00019848295410297088,487.73285611493696,0.02666666666666667,False,False,False,False,False
2,powers,multiplication,0.007030944765396077,246.17250764847466,0.09333333333333334,False,False,False,False,False
2,powers,powers,0.9981710529546018,0.11202856236248358,0.8766666666666667,True,True,False,True,False
3,addition,addition,0.9965548461654649,0.1312974230108871,0.8766666666666667,True,True,False,True,False
3,addition,subtraction,0.20462011387139098,108.34602392637957,0.09666666666666666,False,False,False,False,False
3,addition,multiplication,0.00037693330445008627,422.71061012533175,0.03333333333333333,False,False,False,False,False
3,addition,powers,0.9517076225160115,10.316878714465965,0.16666666666666666,False,True,True,False,False
3,subtraction,addition,0.1563883990705481,107.80322449179025,0.07333333333333333,False,False,False,False,False
3,subtraction,subtraction,0.9984876107757776,0.08570846409001746,0.95,True,True,False,True,False
3,subtraction,multiplication,2.727118555390271e-07,846.1331903071259,0.01,False,False,False,False,False
3,subtraction,powers,0.8984552519259281,23.308942931947314,0.043333333333333335,False,False,False,False,False
3,multiplication,addition,0.0002897875096545657,344.4069547490302,0.03,False,False,False,False,False
3,multiplication,subtraction,3.3856053352701627e-06,791.2353789905695,0.013333333333333334,False,False,False,False,False
3,multiplication,multiplication,0.9926376998895745,0.32115159052234543,0.8266666666666667,False,True,True,False,False
3,multiplication,powers,0.9760129650736333,6.8833888431310255,0.23,False,True,True,False,False
3,powers,addition,0.06516913565912241,181.96507420718385,0.03,False,False,False,False,False
3,powers,subtraction,0.00019775443383877184,523.3530150206129,0.006666666666666667,False,False,False,False,False
3,powers,multiplication,0.007688391403880645,246.0563337917756,0.10666666666666667,False,False,False,False,False
3,powers,powers,0.9969988966696481,0.13825217349439933,0.9233333333333333,True,True,False,True,False
4,addition,addition,0.998343269519725,0.1466878220281407,0.8666666666666667,True,True,False,True,False
4,addition,subtraction,0.15095689955904124,120.012797286263,0.07666666666666666,False,False,False,False,False
4,addition,multiplication,0.00018311706791288254,362.0967997622544,0.023333333333333334,False,False,False,False,False
4,addition,powers,0.935005430020104,9.886517633872325,0.19666666666666666,False,True,True,False,False
4,subtraction,addition,0.16514712846412222,119.87947020779417,0.07,False,False,False,False,False
4,subtraction,subtraction,0.9981415382740456,0.14482933222043415,0.8333333333333334,False,True,True,True,True
4,subtraction,multiplication,4.4704656596709696e-08,787.7264141382063,0.0033333333333333335,False,False,False,False,False
4,subtraction,powers,0.8561593159165183,22.87109890300677,0.06666666666666667,False,False,False,False,False
4,multiplication,addition,0.0027422845761328344,429.44849513824937,0.01,False,False,False,False,False
4,multiplication,subtraction,4.3676899032310914e-07,868.1488663785796,0.013333333333333334,False,False,False,False,False
4,multiplication,multiplication,0.9910592688287863,0.24912011216655658,0.8233333333333334,False,True,True,False,False
4,multiplication,powers,0.9387808418247365,7.077200204467326,0.31,False,True,True,False,False
