seed,strategy,source_task,target_task,epoch_budget,train_mse,validation_mse,test_mse,train_accuracy
12,scratch,random,powers,400,0.4059791034597171,0.4543712650620836,0.4225221712865299,0.76
12,scratch,random,powers,800,0.021434862148220057,0.02225701639800992,0.019944634872731095,1.0
12,scratch,random,powers,1200,0.009285312103094127,0.009644217535356958,0.008875830390772487,1.0
12,scratch,random,powers,1500,0.006716638711634772,0.007641031013848335,0.007068210751360517,1.0
13,clone,multiplication,powers,50,1.789462804935019,1.7991791249230658,1.564953592500075,0.215
13,clone,multiplication,powers,100,0.5837500488612685,0.5806729259757606,0.561780353229875,0.525
13,clone,multiplication,powers,200,0.17180490661947886,0.18105369266338492,0.17851241583439176,0.825
13,clone,multiplication,powers,400,0.07257898160445,0.07743759359593495,0.08500767508610631,0.96
13,clone,multiplication,powers,800,0.04166900841999963,0.044588630305258475,0.0505446581374884,1.0
13,clone,multiplication,powers,1200,0.025892389652834816,0.028489429057018133,0.03289226498839979,1.0
13,clone,multiplication,powers,1500,0.009845066350650765,0.011227601370985737,0.013338292800249493,1.0
13,scratch,random,powers,50,9.826806032158697,8.899190846086245,9.564188763684838,0.09
13,scratch,random,powers,100,7.480754813926403,7.36211688788858,6.889740225270537,0.065
13,scratch,random,powers,200,3.8195922077174327,3.7717466545871683,3.396240166185088,0.2
13,scratch,random,powers,400,0.46245932752969765,0.45869142110599814,0.4443673240207273,0.715
13,scratch,random,powers,800,0.05415904110661005,0.05936057268670647,0.05734535577372211,0.93
13,scratch,random,powers,1200,0.027805359905684206,0.03011212998654623,0.028070716403604146,1.0
13,scratch,random,powers,1500,0.01888896960013975,0.02052797725469753,0.018620115077754792,1.0
14,clone,multiplication,powers,50,1.4866818218703435,1.8115892331268328,1.5744615192441707,0.25
14,clone,multiplication,powers,100,0.5009171957914633,0.7227513493078472,0.6753739977952643,0.66
14,clone,multiplication,powers,200,0.17504899706636423,0.2691749292837967,0.25397788277114935,0.92
14,clone,multiplication,powers,400,0.07607014391128822,0.10237050290434567,0.0981409345278293,0.92
14,clone,multiplication,powers,800,0.052677691673253646,0.06504657222026339,0.06562173861442248,1.0
14,clone,multiplication,powers,1200,0.03476238139058424,0.04241936390840638,0.04430376693916886,1.0
14,clone,multiplication,powers,1500,0.024272205155279534,0.028755367884821848,0.030739801863425432,1.0
14,scratch,random,powers,50,8.986824543500179,9.427011625593247,10.245313220238758,0.16
14,scratch,random,powers,100,7.152353000469941,7.740539962486483,7.558476360786482,0.125
14,scratch,random,powers,200,4.79410246114963,5.386902453770884,5.243556912321922,0.185
14,scratch,random,powers,400,0.32101771969175014,0.48647949384745365,0.43729217414739274,0.82
14,scratch,random,powers,800,0.06013082270203644,0.08659345551003786,0.08506367194414544,0.96
14,scratch,random,powers,1200,0.038282331395490574,0.050443369853043915,0.04963147871069153,1.0
14,scratch,random,powers,1500,0.02644140635410754,0.03480651602712521,0.03399023414392069,1.0
